Timestamp,Name,1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night? ,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,"11. How often do you use electronic devices (e.g., phone, computer) before going to sleep?","12. How often do you consume caffeine (coffee, energy drinks) to stay awake or alert?",13. How often do you engage in physical activity or exercise?,14. How would you describe your stress levels related to academic workload?,15. How would you rate your overall academic performance (GPA or grades) in the past semester?,hours_numeric,hours_z
10/24/2024 16:58,James Martinez,Second year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Rarely,Sometimes,Sometimes (1-2 times a week),Minor impact,Never,Rarely (1-2 times a week),Sometimes (3-4 times a week),Low stress,Average,7.5,-0.27093981378634746
10/24/2024 16:59,Charles Gonzalez,Second year,Female,Often (5-6 times a week),6-7 hours,Sometimes (3-4 times a week),Good,Often,Sometimes,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average,6.5,-1.5375018348598748
10/24/2024 17:00,Richard Miller,Second year,Male,Sometimes (3-4 times a week),More than 8 hours,Often (5-6 times a week),Average,Always,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),High stress,Good,8.5,0.9956222072871798
10/24/2024 17:00,Matthew Davis,First year,Male,Often (5-6 times a week),More than 8 hours,Sometimes (3-4 times a week),Average,Rarely,Never,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Often (5-6 times a week),Low stress,Good,8.5,0.9956222072871798
10/24/2024 17:01,Patricia Martinez,Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Average,Often,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/24/2024 17:02,Nancy Martin,Second year,Male,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Good,Rarely,Sometimes,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Average,6.5,-1.5375018348598748
10/24/2024 17:03,Patricia Jackson,Third year,Male,Every night,More than 8 hours,Every night,Good,Rarely,Sometimes,Rarely (1-2 times a month),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Average,8.5,0.9956222072871798
10/24/2024 17:03,Mary Lopez,First year,Male,Every night,7-8 hours,Rarely (1-2 times a week),Average,Sometimes,Rarely,Sometimes (1-2 times a week),Moderate impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Excellent,7.5,-0.27093981378634746
10/24/2024 17:04,Sarah Wilson,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Rarely (1-2 times a month),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/24/2024 17:06,John Taylor,Second year,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Often,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Extremely high stress,Good,7.5,-0.27093981378634746
10/24/2024 17:07,Daniel Hernandez,First year,Male,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Never,Sometimes,Rarely (1-2 times a month),Moderate impact,Rarely (1-2 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Good,7.5,-0.27093981378634746
10/24/2024 17:07,James Wilson,Second year,Male,Rarely (1-2 times a week),6-7 hours,Rarely (1-2 times a week),Poor,Often,Often,Sometimes (1-2 times a week),No impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress,Excellent,6.5,-1.5375018348598748
10/24/2024 17:08,Susan Lopez,Second year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Sometimes,Often,Often (3-4 times a week),Minor impact,Often (5-6 times a week),Rarely (1-2 times a week),Often (5-6 times a week),High stress,Below Average,8.5,0.9956222072871798
10/24/2024 17:10,Daniel Anderson,Third year,Male,Sometimes (3-4 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Sometimes,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Average,7.5,-0.27093981378634746
10/24/2024 17:12,Matthew Jones,Second year,Female,Often (5-6 times a week),7-8 hours,Every night,Average,Often,Rarely,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Good,7.5,-0.27093981378634746
10/24/2024 17:12,Susan Garcia,Second year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Often (3-4 times a week),Major impact,Rarely (1-2 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Average,7.5,-0.27093981378634746
10/24/2024 17:14,Lisa Taylor,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Rarely,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/24/2024 17:15,Daniel Rodriguez,Third year,Male,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Often,Sometimes,Sometimes (1-2 times a week),Minor impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),Low stress,Average,7.5,-0.27093981378634746
10/24/2024 17:15,Karen Moore,Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Sometimes,Always,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Often (5-6 times a week),Low stress,Good,7.5,-0.27093981378634746
10/24/2024 17:16,Jessica Anderson,Second year,Male,Often (5-6 times a week),6-7 hours,Often (5-6 times a week),Poor,Often,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Average,6.5,-1.5375018348598748
10/24/2024 17:16,Susan Jackson,Third year,Male,Sometimes (3-4 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Sometimes,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Good,7.5,-0.27093981378634746
10/24/2024 17:17,William Hernandez,Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Rarely,Sometimes (1-2 times a week),Moderate impact,Every night,Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor,8.5,0.9956222072871798
10/24/2024 17:18,William Anderson,Second year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Often,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Average,7.5,-0.27093981378634746
10/24/2024 17:20,Linda Anderson,Third year,Male,Often (5-6 times a week),6-7 hours,Sometimes (3-4 times a week),Average,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Extremely high stress,Average,6.5,-1.5375018348598748
10/24/2024 17:20,Charles Martin,Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Sometimes,Often,Rarely (1-2 times a month),Major impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Average,7.5,-0.27093981378634746
10/24/2024 17:21,Nancy Gonzalez,Third year,Male,Every night,More than 8 hours,Every night,Average,Often,Sometimes,Often (3-4 times a week),Minor impact,Often (5-6 times a week),Rarely (1-2 times a week),Often (5-6 times a week),High stress,Average,8.5,0.9956222072871798
10/24/2024 17:27,Jessica Hernandez,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Extremely high stress,Below Average,8.5,0.9956222072871798
10/24/2024 17:29,Jennifer Thomas,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Extremely high stress,Poor,7.5,-0.27093981378634746
10/24/2024 17:30,Michael Lopez,Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Good,Often,Rarely,Always,Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/24/2024 17:31,William Hernandez,Third year,Female,Every night,More than 8 hours,Often (5-6 times a week),Good,Sometimes,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Average,8.5,0.9956222072871798
10/24/2024 17:31,William Martin,Third year,Male,Every night,More than 8 hours,Every night,Poor,Sometimes,Sometimes,Always,Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Average,8.5,0.9956222072871798
10/24/2024 17:32,Matthew Rodriguez,Second year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Sometimes,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Below Average,8.5,0.9956222072871798
10/24/2024 17:32,Sarah Smith,Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often,Rarely,Often (3-4 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Average,7.5,-0.27093981378634746
10/24/2024 17:36,Thomas Miller,Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Always,Sometimes (1-2 times a week),Moderate impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Often (5-6 times a week),Low stress,Average,7.5,-0.27093981378634746
10/24/2024 17:37,John Davis,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Sometimes,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,7.5,-0.27093981378634746
10/24/2024 17:38,Lisa Wilson,Third year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average,7.5,-0.27093981378634746
10/24/2024 17:44,Linda Thomas,Second year,Female,Every night,More than 8 hours,Often (5-6 times a week),Average,Often,Often,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),Low stress,Poor,8.5,0.9956222072871798
10/24/2024 17:45,Daniel Thomas,Third year,Male,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Extremely high stress,Poor,7.5,-0.27093981378634746
10/24/2024 17:45,Joseph Smith,Third year,Male,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Average,Often,Often,Sometimes (1-2 times a week),Severe impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,7.5,-0.27093981378634746
10/24/2024 17:50,John Martinez,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Often,Often,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Poor,7.5,-0.27093981378634746
10/24/2024 17:50,Linda Gonzalez,Third year,Female,Every night,More than 8 hours,Every night,Average,Often,Often,Always,Major impact,Every night,Sometimes (3-4 times a week),Often (5-6 times a week),Low stress,Poor,8.5,0.9956222072871798
10/24/2024 17:50,Matthew Davis,Second year,Male,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Often,Sometimes,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor,7.5,-0.27093981378634746
10/24/2024 17:53,Elizabeth Jackson,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Sometimes,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,8.5,0.9956222072871798
10/24/2024 17:53,Barbara Thomas,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Often,Often,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,7.5,-0.27093981378634746
10/24/2024 17:57,Barbara Wilson,Third year,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Always,Often,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,8.5,0.9956222072871798
10/24/2024 17:57,Lisa Moore,Second year,Female,Often (5-6 times a week),7-8 hours,Every night,Poor,Rarely,Sometimes,Rarely (1-2 times a month),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Poor,7.5,-0.27093981378634746
10/24/2024 18:02,David Lopez,Third year,Male,Sometimes (3-4 times a week),7-8 hours,Rarely (1-2 times a week),Poor,Rarely,Rarely,Rarely (1-2 times a month),Minor impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress,Poor,7.5,-0.27093981378634746
10/24/2024 18:02,Matthew Anderson,Second year,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Rarely,Rarely,Rarely (1-2 times a month),Moderate impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),High stress,Poor,7.5,-0.27093981378634746
10/24/2024 18:03,William Davis,Second year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Sometimes,Often,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor,7.5,-0.27093981378634746
10/24/2024 18:04,Patricia Miller,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,7.5,-0.27093981378634746
10/24/2024 18:12,Michael Miller,Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Rarely,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,7.5,-0.27093981378634746
10/24/2024 18:13,William Jackson,Third year,Female,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Good,Rarely,Sometimes,Sometimes (1-2 times a week),Minor impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average,6.5,-1.5375018348598748
10/24/2024 18:17,Elizabeth Brown,Second year,Male,Often (5-6 times a week),More than 8 hours,Every night,Average,Rarely,Sometimes,Rarely (1-2 times a month),Minor impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Poor,8.5,0.9956222072871798
10/24/2024 18:18,Linda Lopez,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Below Average,7.5,-0.27093981378634746
10/24/2024 18:19,Robert Rodriguez,First year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Rarely,Rarely,Never,Severe impact,Often (5-6 times a week),Sometimes (3-4 times a week),Every day,High stress,Below Average,7.5,-0.27093981378634746
10/24/2024 18:21,Daniel Thomas,First year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Always,Sometimes,Often (3-4 times a week),Minor impact,Often (5-6 times a week),Rarely (1-2 times a week),Often (5-6 times a week),High stress,Poor,7.5,-0.27093981378634746
10/24/2024 18:22,Patricia Smith,Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Poor,Sometimes,Always,Often (3-4 times a week),Minor impact,Sometimes (3-4 times a week),Often (5-6 times a week),Never,High stress,Below Average,7.5,-0.27093981378634746
10/24/2024 18:22,Charles Martinez,First year,Female,Every night,More than 8 hours,Every night,Poor,Sometimes,Sometimes,Rarely (1-2 times a month),Minor impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),No stress,Poor,8.5,0.9956222072871798
10/24/2024 18:22,Jessica Thomas,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Average,Sometimes,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Rarely (1-2 times a week),High stress,Poor,7.5,-0.27093981378634746
10/24/2024 18:22,Joseph Hernandez,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Sometimes,Always,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/24/2024 18:23,Jennifer Johnson,Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Average,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Every day,High stress,Below Average,7.5,-0.27093981378634746
10/24/2024 18:23,William Thomas,Third year,Female,Often (5-6 times a week),6-7 hours,Sometimes (3-4 times a week),Good,Sometimes,Often,Always,Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Average,6.5,-1.5375018348598748
10/24/2024 18:26,John Jackson,Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,8.5,0.9956222072871798
10/24/2024 18:27,Robert Jones,Third year,Male,Sometimes (3-4 times a week),7-8 hours,Every night,Average,Never,Rarely,Sometimes (1-2 times a week),Minor impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),High stress,Average,7.5,-0.27093981378634746
10/24/2024 18:27,John Davis,First year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Rarely,Never,Sometimes (1-2 times a week),Minor impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),Extremely high stress,Below Average,7.5,-0.27093981378634746
10/24/2024 18:27,Patricia Moore,Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Very good,Always,Sometimes,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/24/2024 18:28,Susan Martin,Third year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Sometimes,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Low stress,Below Average,7.5,-0.27093981378634746
10/24/2024 18:29,Richard Anderson,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Average,Often,Sometimes,Always,Major impact,Sometimes (3-4 times a week),Every day,Sometimes (3-4 times a week),High stress,Poor,8.5,0.9956222072871798
10/24/2024 18:30,Charles Wilson,Third year,Male,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Very good,Rarely,Sometimes,Sometimes (1-2 times a week),Minor impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Below Average,6.5,-1.5375018348598748
10/24/2024 18:30,Elizabeth Jackson,Third year,Male,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Very good,Sometimes,Often,Rarely (1-2 times a month),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/24/2024 18:31,Karen Brown,Third year,Female,Sometimes (3-4 times a week),7-8 hours,Every night,Very good,Often,Sometimes,Sometimes (1-2 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/24/2024 18:32,William Williams,Third year,Female,Rarely (1-2 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often,Sometimes,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),No stress,Below Average,8.5,0.9956222072871798
10/24/2024 18:34,Jennifer Moore,Third year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Average,Often,Often,Often (3-4 times a week),Minor impact,Sometimes (3-4 times a week),Every day,Sometimes (3-4 times a week),High stress,Poor,8.5,0.9956222072871798
10/24/2024 19:29,John Garcia,Third year,Male,Every night,More than 8 hours,Every night,Very good,Sometimes,Often,Always,Moderate impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,8.5,0.9956222072871798
10/24/2024 19:29,James Wilson,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,7.5,-0.27093981378634746
10/24/2024 19:30,Mary Davis,Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Average,Sometimes,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average,7.5,-0.27093981378634746
10/24/2024 19:32,Matthew Anderson,Third year,Female,Every night,More than 8 hours,Every night,Good,Always,Often,Sometimes (1-2 times a week),Major impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,8.5,0.9956222072871798
10/24/2024 19:34,Nancy Miller,Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Often,Often,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Low stress,Poor,7.5,-0.27093981378634746
10/24/2024 19:35,Sarah Davis,Third year,Female,Every night,7-8 hours,Every night,Very good,Sometimes,Sometimes,Often (3-4 times a week),Severe impact,Sometimes (3-4 times a week),Every day,Sometimes (3-4 times a week),High stress,Poor,7.5,-0.27093981378634746
10/24/2024 19:36,William Jones,Second year,Female,Every night,More than 8 hours,Every night,Good,Often,Always,Always,Minor impact,Often (5-6 times a week),Every day,Sometimes (3-4 times a week),High stress,Poor,8.5,0.9956222072871798
10/24/2024 19:36,John Johnson,Second year,Female,Never,7-8 hours,Often (5-6 times a week),Good,Often,Often,Sometimes (1-2 times a week),Minor impact,Every night,Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor,7.5,-0.27093981378634746
10/24/2024 19:38,Karen Jackson,Third year,Male,Every night,7-8 hours,Sometimes (3-4 times a week),Very good,Often,Always,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Poor,7.5,-0.27093981378634746
10/24/2024 19:39,Elizabeth Anderson,Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Often,Often,Always,Severe impact,Sometimes (3-4 times a week),Every day,Sometimes (3-4 times a week),Extremely high stress,Below Average,7.5,-0.27093981378634746
10/24/2024 19:40,Matthew Gonzalez,Third year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Low stress,Poor,8.5,0.9956222072871798
